Start (s),End (s),Segment
219.04,224.64,"We compare this to the ground truth, and how we compare it depends on the losses we use."
225.20,226.80,So cross-entropy loss.
227.44,233.20,"Entropy has its roots in information theory, so I'll explain it from that perspective."
233.52,245.20,"So say that there's this weather station, and it sends you a weather forecast at the beginning of each day, and it tells you what weather it is on that day using some n bits of information."
245.84,251.76,"In its best case, say this information can be packed in as low as three bits on average."
252.08,258.40,"Two bits for sunny, four bits for a rainy day, three bits for a partly cloudy day, and so on."
259.20,268.88,"The entropy of a distribution is the average number of bits required to convey a piece of information, like today's weather in this case."
269.20,271.44,So the entropy in this example is three.
272.00,273.12,Three bits.
275.28,277.12,But the tower isn't perfect.
277.28,280.72,It's designed by engineers who have flaws themselves.
281.04,287.68,There is some wastage and it is found that the tower actually sends you five bits on average.
288.00,289.92,This is cross-entropy.
290.24,294.00,We are comparing the true average and the satellite's current average.
294.32,297.36,"Entropy is 3 bits, but cross-entropy is 5 bits."
297.68,310.00,"This means that we could have had a system that tells us the weather with just 3 bits, but we have a system currently, that is our satellite, that is using 5 bits to do the same thing."
310.32,314.16,"Ideally, we want these numbers to be much closer to each other."
314.48,320.40,This 2-bit difference is known as the KL or the Kolbach-Lieber divergence.
320.72,328.48,This little satellite is actually similar to a model that we train to predict the weather in machine learning as a classification problem.
328.80,336.64,"And so in many classification problems, cross-entropy and KL divergence are often used as loss functions to minimize."
337.84,344.16,"Another loss is the hinge loss, typically used in support vector machines for classification tasks."
344.48,351.92,"Minimizing this, we get a boundary that splits the data well and is as far away from every data point as possible."
352.24,356.48,"That is, it maximizes the minimum margin from the data points."
357.04,362.64,"This loss penalizes data points even if they are correctly labeled, if they lie in this margin."
362.96,366.72,I've made several overly mathematical videos on kernels and SVMs.
366.88,369.28,Check it out if you want to lower your self-esteem.
369.84,372.96,I'm going to wrap up this video with a paper discussion.
373.20,379.76,"We've taken a rough look at six common losses for classification and regression, but there are far more."
380.08,382.48,Some better suited for certain problems.
382.80,386.48,We have a set of points we want to fit a regression line through.
386.72,388.80,Squared loss does it decently well.
389.12,391.60,We add outliers and try to fit it again.
391.92,393.36,Doesn't look too great anymore.
393.68,398.00,"So we try the pseudo-Huber loss, and this gives us better results."
398.32,402.24,"But I'm not satisfied yet, so let's try some other losses."
402.56,404.08,So we have the Welsh loss.
404.56,405.84,Results are trash.
406.16,407.76,The Giemann McClure loss.
408.08,409.76,It fits this data better.
410.96,412.32,Now Cauchy's loss.
413.28,415.04,This fits the data even better.
415.36,416.24,I like this.
417.68,422.96,"It's nice that I found the loss function I liked, but I found this by trial and error."
423.28,432.32,Is there a way that I could have just used a loss function without trial and error and somehow arrived at the actual minimum that I wanted?
432.96,442.80,"Turns out that all these losses that I mentioned can be generalized to this equation by setting different values for alpha, which is a shape parameter."
443.44,445.76,How do we add alpha into the mix though?
446.08,448.16,Maximum likelihood estimation.
448.40,455.12,We maximize the likelihood of the probability distribution or minimize the negative log likelihood.
455.44,458.08,So it becomes an adaptive loss.
458.64,462.32,This technique is typically used to derive losses mathematically.
462.96,466.56,And this actually leads to some interesting results.
467.12,473.60,Here are some examples of images when we let a variational autoencoder to determine a loss and generate images.
473.92,475.36,They aren't half bad.
475.68,479.44,The idea of an adaptive loss sounds like an amazing idea.
479.76,488.08,"Hope you all have a better idea behind loss functions, the differences between them, and a sprinkle of research on adaptive loss functions."
488.96,493.36,And so we can avoid trial and error to determine the most appropriate losses.
493.68,495.52,I have resources in the description below.
495.68,500.80,"If you like these videos, please subscribe to keep the lights up in my little apartment, and I will see you soon."
501.12,502.00,Bye-bye.
